,target,ids,date,flag,user,text,tokens
383073,0,2053124848,Sat Jun 06 03:22:13 PDT 2009,NO_QUERY,binamoon,came home a few minutes ago. walked through the rain... 20 minutes... i'm so cold and wet!! ,"['came_home', 'minut_ago', 'walk_rain', 'minut', 'cold_wet']"
271740,0,1990072423,Mon Jun 01 03:47:21 PDT 2009,NO_QUERY,CforrClemmensen, i dont wanna talk anymore,"['dont_wanna', 'talk_anymor']"
1224002,4,1990485241,Mon Jun 01 04:59:56 PDT 2009,NO_QUERY,utsha,federer down 2 sets..haha! if he loses this match then im treating beer to Swapnil Sahai ,"['feder', 'set', 'haha', 'lose', 'match', 'treat', 'beer', 'swapnil', 'sahai']"
147882,0,1882948882,Fri May 22 07:45:31 PDT 2009,NO_QUERY,shani_o,"I have a foot heater under my desk that is giving me hotflashes, and I can't seem to turn it off. ","['foot', 'heater', 'desk', 'hotflash', 'turn']"
1131576,4,1975879555,Sat May 30 16:06:03 PDT 2009,NO_QUERY,AshHobson,At starbucks with @aobrooks before heading to Jennies to celebrate her birth with friends!!   http://mypict.me/283A,"['starbuck', 'aobrook', 'head', 'jenni', 'celebr', 'birth', 'friend', 'mypict']"
778303,0,2322646871,Wed Jun 24 23:00:03 PDT 2009,NO_QUERY,oskar1081,"I love you doc! Ice cream before bed &amp; 2 double cheeseburgers for lunch, best medicine ever  heading to duty  blah...","['love', 'doc', 'ic_cream', 'bed', 'amp', 'doubl', 'cheeseburg', 'lunch', 'best', 'medicin', 'head', 'duti', 'blah']"
1306699,4,2011972116,Tue Jun 02 19:51:47 PDT 2009,NO_QUERY,KDubDizzle,House party at the Duran casa and everyone's invited!! hit me up! ,"['hous_parti', 'duran', 'casa', 'invit', 'hit']"
1107702,4,1971620108,Sat May 30 07:31:09 PDT 2009,NO_QUERY,JazzyHale22,@HerMonkeyMan just fine ,"['hermonkeyman', 'fine']"
269780,0,1989686252,Mon Jun 01 02:26:37 PDT 2009,NO_QUERY,itsyasmin,Using twitteriffic. Wifi here is slow ,"['twitteriff', 'wifi', 'slow']"
512120,0,2190067137,Tue Jun 16 01:40:23 PDT 2009,NO_QUERY,lollipopandgum,wants to go out ! ,['want']
1483079,4,2067396650,Sun Jun 07 12:16:13 PDT 2009,NO_QUERY,nousernameknown,Breaks with nothing to do...how I love them. ,"['break', 'love']"
970188,4,1828014060,Sun May 17 11:54:53 PDT 2009,NO_QUERY,EP31,@DCCheapSeats I can't see... *pokes TV* I've only got hockey and BMX or whatever here.... but still... that sounds cuuute ,"['dccheapseat', 'poke', 'got', 'hockei', 'bmx', 'sound', 'cuuut']"
523787,0,2193250461,Tue Jun 16 08:12:05 PDT 2009,NO_QUERY,chowdown,"@PaperCakes It's NASTY. I get wanting to add a bit of colour/sweetness, but it's just not good. We always end up with like 6 dishes too. ","['papercak', 'nasti', 'want', 'add', 'colour', 'sweet', 'good', 'end', 'like', 'dish']"
1307097,4,2012155046,Tue Jun 02 20:09:40 PDT 2009,NO_QUERY,1critic,@harumscarum I like these articles you tweet. Yesterday twas media anthro now Twitter as comm tool? ,"['harumscarum', 'like', 'articl', 'tweet', 'yesterdai', 'twa', 'media', 'anthro', 'twitter', 'comm', 'tool']"
1288764,4,2002523258,Tue Jun 02 04:27:37 PDT 2009,NO_QUERY,ccolwin,"@MarkyMoya Yeah, thanks for the link. I'll check it next time. ","['markymoya', 'yeah', 'thank_link', 'check', 'time']"
609987,0,2223958094,Thu Jun 18 08:55:08 PDT 2009,NO_QUERY,momokuri,start reading 'Design Rules - The power of modularity' and suspend my head after the preface ,"['start_read', 'design', 'rule', 'power', 'modular', 'suspend', 'head', 'prefac']"
1461014,4,2063891875,Sun Jun 07 04:28:54 PDT 2009,NO_QUERY,1critic,"@GeneralProfound Lucky you.  My mom has the same philosophy w/ furniture, always picking the sturdy hardwoods over the trendy cushions.","['generalprofound', 'lucki', 'mom', 'philosophi', 'furnitur', 'pick', 'sturdi', 'hardwood', 'trendi', 'cushion']"
422070,0,2062562929,Sat Jun 06 23:35:58 PDT 2009,NO_QUERY,jenthegingerkid,"@emeraldjaguar I'm watching TV. Took a long nap this afternoon. Aww, pic is gone. ","['emeraldjaguar', 'watch', 'took_long', 'nap', 'afternoon', 'aww', 'pic', 'gone']"
476994,0,2178044601,Mon Jun 15 07:06:39 PDT 2009,NO_QUERY,danimercado,@iyazialcita our doodles! and the palanca we gave everyone. ,"['iyazialcita', 'doodl', 'palanca', 'gave']"
46921,0,1677519346,Sat May 02 02:30:53 PDT 2009,NO_QUERY,AsymptoticGiant,"@RensaEC &quot;Selective Twitter Status&quot; I believe it's called. I've been capped out of fb, so all my updates happen from here ","['rensaec', 'quot', 'select', 'twitter', 'statu', 'quot', 'believ', 'cap', 'updat', 'happen']"
1539616,4,2180178019,Mon Jun 15 10:06:55 PDT 2009,NO_QUERY,movezerb,@annejulieart Good evening ,"['annejulieart', 'good']"
916437,4,1753311171,Sun May 10 01:01:49 PDT 2009,NO_QUERY,KeshLondon,@marafromci its bout smoking weed ,"['marafromci', 'bout', 'smoke', 'weed']"
1176470,4,1981263636,Sun May 31 08:47:04 PDT 2009,NO_QUERY,purplehayz,"@SensualStories Lookin' to be tied to railroad tracks, young lady? ","['sensualstori', 'lookin', 'ti', 'railroad', 'track', 'young_ladi']"
139138,0,1880734206,Fri May 22 02:18:33 PDT 2009,NO_QUERY,Retnev,"@baldy_za I think I need a Star Trek food replicator, just say &quot;Coffee&quot; &amp; get it  .... but wait it does not exist yet ","['baldi', 'think', 'need', 'star_trek', 'food', 'replic', 'quot', 'coffe', 'quot', 'amp', 'wait', 'exist']"
160437,0,1957072308,Thu May 28 23:26:26 PDT 2009,NO_QUERY,heyisabelle_,my stomach feels like it's touching the ground..i'm SO full ,"['stomach_feel', 'like', 'touch', 'ground']"
1093514,4,1970067943,Sat May 30 02:19:20 PDT 2009,NO_QUERY,eddydibbink,"More summer songs: Arrested Development (Everyday people - single version), UB40, Bob Marley, Yellowman... Well you get the picture ","['summer', 'song', 'arrest_develop', 'everydai', 'peopl', 'singl', 'version', 'bob_marlei', 'yellowman', 'pictur']"
176543,0,1965384786,Fri May 29 15:49:38 PDT 2009,NO_QUERY,cynicismRAWKS,@MysteryArtist I never knew ,"['mysteryartist', 'knew']"
73961,0,1694677750,Mon May 04 03:40:52 PDT 2009,NO_QUERY,Mel_Bel,Out of the showerrrr. Not liking this weather  Piri-piri chicken at the harvester later? YEAH MAN :],"['showerrrr', 'like', 'weather', 'piri', 'piri', 'chicken', 'harvest', 'later', 'yeah', 'man']"
1250261,4,1996256145,Mon Jun 01 14:47:05 PDT 2009,NO_QUERY,annika_whatever,had a lovely day  Tomorrow school and You me @ six @ nijmegen with Bionda!,"['love', 'dai', 'tomorrow', 'school', 'nijmegen', 'bionda']"
1150419,4,1978451326,Sat May 30 23:23:52 PDT 2009,NO_QUERY,Santosha108,"Impeccability is the only freedom warriors have..... must keep in mind, so many challenges ","['impecc', 'freedom', 'warrior', 'mind', 'challeng']"
676172,0,2248321691,Fri Jun 19 20:26:30 PDT 2009,NO_QUERY,sonwolf,playin dragonball z budokai tenkaichi  stuck on majin boo!!! so hard my hands r shaking,"['playin', 'dragonbal', 'budokai', 'tenkaichi', 'stuck', 'majin', 'boo', 'hard', 'hand_shake']"
896330,4,1692991776,Sun May 03 21:16:54 PDT 2009,NO_QUERY,VonneyD,@jamielai It was delish!  Ryan didn't mince the garlic to well..lol! But it was still yummy!!!,"['jamielai', 'delish', 'ryan', 'minc', 'garlic', 'lol', 'yummi']"
524882,0,2193646319,Tue Jun 16 08:44:26 PDT 2009,NO_QUERY,ugasaga,wore my brother's polo shirt out today cause I miss him. Looked fucken stupid though ,"['wore', 'brother', 'polo', 'shirt', 'todai', 'caus', 'miss', 'look', 'fucken', 'stupid']"
292585,0,1996054459,Mon Jun 01 14:27:50 PDT 2009,NO_QUERY,Forevernalways,so i changed my twitter BG but its still the zebra stripes?? is that what yall see too  not good,"['chang', 'twitter', 'zebra', 'stripe', 'yall', 'good']"
467947,0,2175891875,Mon Jun 15 02:18:00 PDT 2009,NO_QUERY,Miss_Becca,@JonasAustralia I missed jonas  I'll watch the repeat!,"['jonasaustralia', 'miss', 'jona', 'watch', 'repeat']"
1548314,4,2182995632,Mon Jun 15 13:54:34 PDT 2009,NO_QUERY,hihocherio,Floundering with the website.  ,"['flounder', 'websit']"
1555981,4,2185263181,Mon Jun 15 17:07:21 PDT 2009,NO_QUERY,promedia,"@Steve_Bishop  I had to think about it for a moment before I tweeted but no don't think so, might delete the tweet just to be sure ","['steve', 'bishop', 'think', 'moment', 'tweet', 'think', 'delet_tweet', 'sure']"
995591,4,1835738908,Mon May 18 06:39:01 PDT 2009,NO_QUERY,LincaPink,"thinks that having fans is, well... just fantastic! ","['think', 'fan', 'fantast']"
954341,4,1824824234,Sun May 17 03:05:47 PDT 2009,NO_QUERY,lauraft,@BrodyDalle I'm a big fan of yours and was just wondering if/when Spinnerette will be touring the UK? Hopefully you'll come to Wales ,"['brodydal', 'big_fan', 'wonder', 'spinnerett', 'tour', 'hopefulli', 'come', 'wale']"
227362,0,1978045559,Sat May 30 22:18:17 PDT 2009,NO_QUERY,chromiselda,@Flamov haha yeahhh! Whatever happened to WiiMotionPlus? &gt;.&lt;! ,"['flamov', 'haha', 'yeahhh', 'happen', 'wiimotionplu']"
855204,4,1573529346,Tue Apr 21 01:36:07 PDT 2009,NO_QUERY,mrjaba,@hlame I hear Innis and Gunn has that effect on engines when used as a fuel source ,"['hlame', 'hear', 'inni', 'gunn', 'effect', 'engin', 'fuel', 'sourc']"
574611,0,2210524723,Wed Jun 17 11:41:31 PDT 2009,NO_QUERY,areee,"just remembered my mom, cousin, and aunts are goin 2 vegas and i cant go ","['rememb', 'mom', 'cousin', 'aunt', 'goin', 'vega']"
1449948,4,2062892766,Sun Jun 07 00:39:11 PDT 2009,NO_QUERY,innekevangelder,"http://twitpic.com/6tf9n - look how happy she is  i gave her a candy, but she won't eat it unless i watch her eating it. i think she w ...","['tfn', 'look', 'happi', 'gave', 'candi', 'won', 'eat', 'watch', 'eat', 'think']"
472406,0,2176834836,Mon Jun 15 04:51:57 PDT 2009,NO_QUERY,Autumn_M_Thomas,Test in about an Hour.. car got towed  NEEDS A GIANT CUP OF COFFEE,"['test', 'hour', 'car', 'got', 'tow', 'need', 'giant', 'cup_coffe']"
1062173,4,1964061932,Fri May 29 13:39:58 PDT 2009,NO_QUERY,leightonoc,What do you think of my new Twitter page with me in living color &amp; with sound? Scary or what?    http://bbltwt.com/dfck2,"['think', 'new', 'twitter_page', 'live', 'color', 'amp', 'sound', 'scari', 'bbltwt', 'dfck']"
1008501,4,1880808778,Fri May 22 02:34:53 PDT 2009,NO_QUERY,dirtyfilthy,life is good ,['life_good']
423848,0,2062958841,Sun Jun 07 00:52:46 PDT 2009,NO_QUERY,SamTheBikerShaw,I've woke up with a bit of a headache after drinking a bottle of wine and trying not to cry whilst watching Australia on DVD ,"['woke_headach', 'drink', 'bottl_wine', 'try', 'whilst_watch', 'australia', 'dvd']"
279590,0,1991830333,Mon Jun 01 07:44:20 PDT 2009,NO_QUERY,the_heat_love,Ugh I feel so depressed today....I hate the rain sometimes ,"['ugh', 'feel_depress', 'todai', 'hate_rain']"
961216,4,1827008803,Sun May 17 09:47:45 PDT 2009,NO_QUERY,curtiecurt,Is glad hes single....cuz a studmuffin just walked in and winked. ,"['glad', 'singl', 'cuz', 'studmuffin', 'walk', 'wink']"
749686,0,2285195244,Mon Jun 22 14:49:37 PDT 2009,NO_QUERY,anjlishah,@RickyDeHaas  oohh! That makes more sense now! LOL I know eh it's so weird! I can't wait either..it's been so long! lol ima weakling ,"['rickydehaa', 'oohh', 'sens', 'lol', 'know', 'weird', 'wait_long', 'lol', 'ima', 'weakl']"
359763,0,2046022357,Fri Jun 05 11:34:50 PDT 2009,NO_QUERY,lesliie_x,@MissKellyO I understand you ,"['misskellyo', 'understand']"
210005,0,1974116970,Sat May 30 12:28:33 PDT 2009,NO_QUERY,miratorres,"Washed all my brushes last night..but since it' s freeeeezing her in SF, they didn't dry.  Today is finger application galore!!!","['wash', 'brush', 'night', 'freeeeez', 'dry', 'todai', 'finger', 'applic', 'galor']"
277312,0,1991242845,Mon Jun 01 06:40:37 PDT 2009,NO_QUERY,DaPrincesa24,Wow i get on and like my 14 followers cut me off and went back to 12  sucks,"['wow', 'like', 'follow', 'cut', 'went', 'suck']"
1431551,4,2060101848,Sat Jun 06 18:15:37 PDT 2009,NO_QUERY,Lisakristinee,@mesaheadk7 dont forget im going over at 9 to decorate!! ,"['mesaheadk', 'dont_forget', 'decor']"
991170,4,1835082638,Mon May 18 05:05:21 PDT 2009,NO_QUERY,deelishish,@Jay_Boogy  wat up homie.....yea we gotta do that asap. this rain is making me so tired.....you should have came to atl wit me ,"['jai', 'boogi', 'wat', 'homi', 'yea', 'gotta', 'asap', 'rain', 'tire', 'came', 'atl', 'wit']"
492186,0,2184126832,Mon Jun 15 15:27:37 PDT 2009,NO_QUERY,techpimp,"If the quality of a weekend is measured by time spent away from a PC, then mine was GREAT! Too bad Monday had to come back around ","['qualiti', 'weekend', 'measur', 'time', 'spent', 'awai', 'great', 'bad', 'mondai', 'come']"
1214769,4,1989479627,Mon Jun 01 01:41:47 PDT 2009,NO_QUERY,melanieeejayyy,"Will, you just made my night ",['night']
862569,4,1676913969,Fri May 01 23:41:25 PDT 2009,NO_QUERY,basshero,Listening to the Viva La Vida album to fall asleep... An amazing day at youth Councils... Learning what worship is all about. ,"['listen', 'viva_vida', 'album', 'fall_asleep', 'amaz', 'dai', 'youth', 'council', 'learn', 'worship']"
