,target,ids,date,flag,user,text
706529,0,2256715579,Sat Jun 20 13:11:43 PDT 2009,NO_QUERY,sincerelyabby,@ddlovato awh. i'm sure you'll do fine tomorrow! i'm praying &lt;3 wish i could go 
1198641,4,1985182774,Sun May 31 16:35:52 PDT 2009,NO_QUERY,marttiinna,@rachelkosterski i loovee that songg(L) its my favouriteee 
902654,4,1694473491,Mon May 04 02:47:23 PDT 2009,NO_QUERY,emilylouisemei,"uft im tutoring the lil sis  shes so cute, even though shes an eighth grader :p"
694365,0,2252971627,Sat Jun 20 07:20:47 PDT 2009,NO_QUERY,sthread01,Home at last-Last travel week for awhile completed!  Crashed and burned on food and exercise last week   Fresh start today!
588513,0,2216679135,Wed Jun 17 19:49:20 PDT 2009,NO_QUERY,pinksmash,@art_mitchell thanks didn't know  how else can I get high speed internet?
1498501,4,2070583106,Sun Jun 07 17:57:16 PDT 2009,NO_QUERY,pORsCh2COOL,Off to work ahh...thinkin of such a nice day I had 
268466,0,1989411671,Mon Jun 01 01:26:32 PDT 2009,NO_QUERY,squidwardthe2nd,"misses magazine days  too bad the ones that ppl give away are never the ones i'm interested in, are there any ways to get free subs?"
1554451,4,2184898537,Mon Jun 15 16:35:02 PDT 2009,NO_QUERY,Smasian,@kelseabearit I dunno if you're talking about what I think you're talking about but I'm so SO proud of you no matter what 
22881,0,1557591869,Sun Apr 19 05:00:49 PDT 2009,NO_QUERY,JamesGFilms,"Had a dream that i met &amp; became good mates with Liam Neeson. i was going to tweet a pic of us, but i can only tweet i dreamt it all now "
346695,0,2016244096,Wed Jun 03 06:26:08 PDT 2009,NO_QUERY,ParaFanLV,Fuck..... Today it's raining 
229587,0,1978515055,Sat May 30 23:35:55 PDT 2009,NO_QUERY,JossieGee,"I get to watch JONAS later on this morning!! Since I don't have cable  I have to watch it online. So goodnight, love yaw!!"
436679,0,2065729285,Sun Jun 07 09:10:35 PDT 2009,NO_QUERY,irenelie,Caelyn's nightly blocked nose is making her snore 
1178271,4,1981551539,Sun May 31 09:23:34 PDT 2009,NO_QUERY,babybunny1987,Why do i get a Friend request from a Page which doesnt exist?  Twitter is so weird sometimes...
330547,0,2012267195,Tue Jun 02 20:21:06 PDT 2009,NO_QUERY,BeachMomof2,@CiaoBella50  Yes it is!  
1451271,4,2063024539,Sun Jun 07 01:06:07 PDT 2009,NO_QUERY,nansen,"@AngeOuDiable wise words..need to needlepoint that... &quot;Reflect, repent and reboot&quot; "
1098589,4,1970496234,Sat May 30 04:05:58 PDT 2009,NO_QUERY,CoutureParties,@thesmartplanner sending you good thoughts 
819108,4,1553303100,Sat Apr 18 13:54:26 PDT 2009,NO_QUERY,Martiword,@markhundley  I have those &quot;bald moments&quot; too 
525611,0,2193973857,Tue Jun 16 09:10:32 PDT 2009,NO_QUERY,Jamesonwa,I just got up and feel like poo 
1073598,4,1966820558,Fri May 29 18:27:37 PDT 2009,NO_QUERY,chelray,Eating mac n cheese with alexxis come visit 
61776,0,1686846342,Sun May 03 06:58:32 PDT 2009,NO_QUERY,kymmskreations,Waiting at the airport with the hubby this morning. 1 hour till his flight leaves 
1386790,4,2052866428,Sat Jun 06 02:20:00 PDT 2009,NO_QUERY,allaboutcricket,@IMRANANWAR!! CRICKET!! what kind of pakistani are you?  http://ff.im/-3EoyG
1335236,4,2016958472,Wed Jun 03 07:38:03 PDT 2009,NO_QUERY,nenabooxoxo,bored as crap at school can't wait to go to the beach this weekend 
1088333,4,1969585271,Sat May 30 00:31:16 PDT 2009,NO_QUERY,Taliatastic,@TinaRaee Woot. does that mean you need the next Charlaine harris book?  I'm all too happy to help
1241302,4,1993991920,Mon Jun 01 11:14:36 PDT 2009,NO_QUERY,thenaturalmommy,@LaMamaNaturale workin' on it!  had an ob appt this morning.  fighting the urge to nap until the m&amp;g is done.  
782193,0,2323598156,Thu Jun 25 01:01:15 PDT 2009,NO_QUERY,Welanie,Just had a nap. I don't feel that good  head hurts.
1304320,4,2010301999,Tue Jun 02 17:09:12 PDT 2009,NO_QUERY,mbloem83,@DarkMelodie106 i agree...it was always like ayiii tiene el pelo malo...depressing sigh..ehhh..now i love my naps 
1541522,4,2180821224,Mon Jun 15 10:59:31 PDT 2009,NO_QUERY,DonnaMMiller,"@journeycoach Re: my ADHD. So far today, I've signed two greeting cards that were stuck under my nose and now I'm having birthday cake "
438918,0,2066300739,Sun Jun 07 10:15:34 PDT 2009,NO_QUERY,bimbler,"@pussygaloria007 oh crap, R U ok now? its that all night partying "
1218605,4,1989852725,Mon Jun 01 03:02:15 PDT 2009,NO_QUERY,aquahaze22,To think it again will be very busy tomorrow i will be around somewhere in cebu actually in mall to buy school supplies 
964162,4,1827502194,Sun May 17 10:50:47 PDT 2009,NO_QUERY,amazing_grace13,@DamienCripps Hey Damien...   How the hell are ya today?
550689,0,2202974945,Tue Jun 16 22:46:31 PDT 2009,NO_QUERY,emellieee,my laptops screen keeps blacking out on me even when I'm in the middle of something. I hope it's not broken  maybe I need to shut it down
678500,0,2248988126,Fri Jun 19 21:31:32 PDT 2009,NO_QUERY,infamousdiva1,Catchin a headache 
1299499,4,2006146525,Tue Jun 02 10:43:41 PDT 2009,NO_QUERY,pRiTyPrIs,Cooking tips!  deisy taught me how to make mexican macaroni!
1076956,4,1967550928,Fri May 29 19:47:18 PDT 2009,NO_QUERY,Emilycopeland_,"about to go relax on the couch, im tired.. and im getting the impression that your supposed to update twitter more often than i do. haha. "
141722,0,1881321661,Fri May 22 04:19:01 PDT 2009,NO_QUERY,maja_bbyxD,Class  grre I hate testing time
40016,0,1573676338,Tue Apr 21 02:18:43 PDT 2009,NO_QUERY,wildebees,Wishing I was in South Africa today even though its a gorgeous day in Blighty 
1486092,4,2068000859,Sun Jun 07 13:19:36 PDT 2009,NO_QUERY,ccguidry,had a great time at the beach with court! 
1193177,4,1984207695,Sun May 31 14:39:09 PDT 2009,NO_QUERY,champuru,@sishizaki Sizzling Hamburger Steak at Dot's on the agenda? 
13325,0,1553201788,Sat Apr 18 13:38:18 PDT 2009,NO_QUERY,Simply_Bre,"@missktmurphy Are you going to start tweeting now, my love? Probably not  Hope u're having a more productive day than I am!"
1004491,4,1880421238,Fri May 22 01:10:49 PDT 2009,NO_QUERY,Bianca257,"@Mennard Ha ha talk to you later, must work now  x"
209389,0,1973960560,Sat May 30 12:10:06 PDT 2009,NO_QUERY,Dre_Uh,@Ran_Flip Ugh everything 
507242,0,2188851698,Mon Jun 15 22:41:51 PDT 2009,NO_QUERY,alltimelexi,@EmmyATL Blah that sucks. Oh wellll  apparently John Oh and Halvo's numbers are online somewhere.
144749,0,1882038277,Fri May 22 06:06:19 PDT 2009,NO_QUERY,teainagarden,@Brokencitysky essay writing 
203251,0,1972316615,Sat May 30 08:59:59 PDT 2009,NO_QUERY,simonerenee,@MissODFLY wat happened wit quana?! 
1546529,4,2182497511,Mon Jun 15 13:14:58 PDT 2009,NO_QUERY,rafaelziggy,@daonde pooo a gente tem q viver offline tbm n̩? ficar online no feriadao inteiro complica 
1313253,4,2013756850,Tue Jun 02 23:29:46 PDT 2009,NO_QUERY,ManderBearPig,"@eeejayy is talking about ''Beans''. I think @LucyisRAD gave him that idea, actually "
121524,0,1833532326,Sun May 17 23:35:27 PDT 2009,NO_QUERY,Figjig,What a long day!! Got out of work late! Than I missed most of the Celtics/Magic game  Than the Celtics lost! 
1466971,4,2064544420,Sun Jun 07 06:33:24 PDT 2009,NO_QUERY,rjleaman,"@lizgrandmaison and we're practically neighbours, too "
1327099,4,2015338887,Wed Jun 03 04:23:45 PDT 2009,NO_QUERY,sm63,@anaggh: @kapilb @KapilJoshi @Sampad @sakthidharan @sm63  http://tinyurl.com/qzky74 Very interesting. We must meet. 140 char not enough 
569881,0,2208135391,Wed Jun 17 08:49:25 PDT 2009,NO_QUERY,Fatalstrike,FT is finally over forever! After 5.5 hours of exams today... Just realized I spent almost a quater of my day doing exams.... 
597758,0,2219348522,Thu Jun 18 00:20:10 PDT 2009,NO_QUERY,WordofSouth,@jasminestarr22 It's ok...I'm over it now.  tough L to take though.
690193,0,2251954435,Sat Jun 20 05:03:40 PDT 2009,NO_QUERY,kwizbee,"@icthecords sunny skies this morning for the swim, thank god!leg feels better but rain is forcasted  for tomorow "
431297,0,2064514383,Sun Jun 07 06:28:42 PDT 2009,NO_QUERY,itmgr504,....trying to figure out WordPress permissions!  Grrrrrrrrr..........
528210,0,2194986271,Tue Jun 16 10:31:29 PDT 2009,NO_QUERY,ageekgirl,"@lemonblossoms My niece was Asoka for Halloween. I can paint her face, but I haven't watched much.  geeky in a different way, I guess"
